PhraseNo,Phrase,IsHateSpeech
358,"My name's Honey Boo Boo and I'm a beauty queen, bitches.  I'm fat as a whale and I don't give two shits, girl!",YES
359,You son of a bitch Newman! How did you beat me down here!,YES
360,"Alright, you son of a bitch! I'll take you to hell! ",YES
361,"I don't give a shit, dude! Nobody beats my ratings! Get me a plane ticket! That bitch is going down! ",YES
362,"I ain't done with you, bitch!",YES
363,Oh! You fucking bitch! ,YES
364,"Nobody wants any of your stuff, you fat bitch!",YES
365,"Son of a bitch, it's him all right!",YES
366,"Yeah, no, false alarm again. I'm in the store and some fat bitch asked me if my dad likes cologne.",YES
367,We got the sonofabitch!,YES
368,"I am sooo sick of that stupid bitch! Blabbin' pussy little skank! Why do people talk on their phone like that?! I can't even get a minute of piece before thatÂ bitchÂ walks in, holding the cell phone out like thisÂ , and talking on speaker phone! Nobody wants to hear your goddamned conversations, you little bitch! You're not that important!",YES
369,"OH! Ohoho, you bitch!Â Â Ohohunh.",YES
370,He's such a bitch.,YES
371,"No offense, but we're putting that bitch on ice.",YES
372,"Don't bitch to me, boss man. Thanks to the latest budget cuts, I'm down to using grade F meat.",YES
373,"Oh, bitch, bitch, bitch.",YES
374,Son of a bitch...,YES
375,"Well, well, ""the bitch is back.""",YES
376,And you've been bitching about it for thirty years.,YES
377,That is one bitchin' bike!,YES
378,"When we explain our side of the story, the hate calls will end. I won't have to hear ""suck my such and such"" or ""hell this"" and ""bitch that...""",YES
379,"Read the patent number, bitch!",YES
380,"He's a real man -- not like me, a miserable toad under the thumb of the biggest bitch this side of the Westminster Kennel Club.",YES
381,You son-of-a-bitch!,YES
382,"Oh, I see what's goin' on here: if a woman does it, she's a bitch. But in a man, those traits would be considered... Uh-oh.",YES
383,"Suck it, karma! Yeah! I'm talkin' to you, karma! Karma's a bitch, karma!",YES
384,You all wanna motherfuckin' die?! ,YES
385,(I did! I was really excited to get a B.J. but now I have to wear this motherfucking purity ring!),YES
386,"Oh my God, look at this!  Motherfucker!",YES
387,"NO! Dude, I'm seriously! You're being a copycat! I'll sue you!  Motherfucker!",YES
388,"Alright, that does it! I'm gonna kick your motherfuckin' ass! ",YES
389,Motherfucker!,YES
390,Tie up these motherfuckers!  Now I'm gonna ask you motherfuckers one more time: why did you start these rumors about me?!,YES
391,"Pimp gotta be out there every motherfuckin' day keepin' his bitches in line. Can't let 'em go shoppin', spendin' their money on stupid shit. Bitches gotta think that's your motherfuckin money, know what I'm sayin'?",YES
392,You motherfucker! I never should have married you! ,YES
393,"Open the door, you motherfucker! ",YES
394,"Motherfucker!  The whole thing! I read the whole fucking thing! I kept thinking, ""alright, I guess the cool offensive stuff must be coming,"" and then after like a hundred pages I was like ""alright, I guess all the dirty stuff is at the end,"" and then I got to the last page, and I was all ""the fuck is this?! I just read a book! For nothing!""",YES
395,"No, I gets it man. Thought things had changed, dog. Thought when we got a black president, things would be different. We gots our black president, but Whitey still don't trust me to use his motherfuckin' phone.",YES
396,"If anyone thinks they're gonna beat me inside that mall, and keep me from gettin'Â Â my kids Christmas presents, they can kiss my fat vagina, 'cause I'm bringin' the motherfuckin' pain!Â ",YES
397,"You see, I'm looking to cut out the middle man. I want to buy my jewelry direct from you so that-  Motherfucker!",YES
398,Motherfucker! ,YES
399,What you doin' motherfucker?!,YES
400,You lazy-ass motherfucker!,YES
401,"Yeah, bitch! Snatch his ass in a bear trap! Leave that motherfucker swingin' from a tree so high nobody finds him for days! Glock-glock, you know what I'm sayin'? Dumbassed motherfucker pullin' shit! Damn!",YES
402,Timmy? Timmy? I told you to put on the HAT!!  You dirty motherfucker! ,YES
403,HWAAAAHHH! Airline motherfuckerrrs! You pieces of shiiit! Cocksucking sons of bitch airlines! ,YES
404,"Well now you're gonna get it, motherfucker! That's right! You and me! Right now!  We're havin' it out! Let's go! Come on! Come on!!  Mooooooom! Moooooooom!",YES
405,"Well now you're gonna get it, motherfucker! That's right! You and me! Right now!  We're havin' it out! Let's go! Come on! Come on!!  Mooooooom! Moooooooom!",YES
406,Get out there and vote or I will motherfucking kill you. ,YES
407,"Vote or die, motherfucker, motherfucker, vote or die!",YES
408,"Save the whales, motherfucker!",YES
409,"I'm gonna make love to your asshole, children.",YES
410,"I specializes in your asshole, Kyle. ",YES
411,"No, no! Don't apologize, you asshole!",YES
412,"Oh, what do you care? You're just an asshole. I'm a minge! Minges need stimulation.",YES
413,"Assholes need stimulation too, you bastard! I want to travel. I want to see Paris. I thought lamp was goin' to get better, but Oprah's always busy. Werkin' and werkin', diyatin' and not diyatin'. I need a pukin' up mounds of chocolate cake or teaspoons of weedgrass.",YES
414,"A'right, look. All you need to know is that I'm definitely not Oprah's asshole.",YES
415,"I'm standing in the business district of central Chicago, where Oprah's vagina has killed a police officer and taken several people hostage. It is yet unconfirmed but believed that Oprah's asshole may be an accomplice in this as well.",YES
416,Oprah's going to be okay. Wish I could say the same for her vagina and asshole.,YES
417,"Just take a shot or pass the ball, asshole! It's getting late!",YES
418,"Just take a shot or pass the ball, asshole! It's getting late!",YES
419,"All that treasure.  It's all mine!  So long as these greedy assholes don't find out about it!  You would all just looove to get your hands on my treasure, wouldn't you?! Even though I found it, you'd love to think it's somehow yours, too! God, I hate you guys!  Especially you, you money-grubbing snake in the grass!  Well I have news for you, Kyle! You're never going to get my treasure. I've got a little plan going, to get the treasure out of here without you ever knowing. ",YES
420,"NO DON'T! Don't leave me here, you assholes. Don't leave me here to die. ",YES
421,"Well nice goin', asshole! You made my mom cry!",YES
422,"Suck my asshole, taco vendor!",YES
423,"Get out of here, asshole!",YES
424,"So pick another one! I'm the dwarf, you stupid asshole! Log out, create a new character, and log back in!",YES
425,"All right, Clyde, hit him with your crossbow!  Hit him now, Clyde! Clyde? Clyde!  Clyde! Clyde, you asshole!  Goddamnit we lost Clyde!",YES
426,"All right, now get out of here. You can't freeze too, or else we're both screwed.  Get out of here, you asshole! You're gonna ruin everything!",YES
427,Haha! Stupid assholes! I got your time phone! ,YES
428,What an asshole!,YES
429,"No, I am you, you stupid asshole!",YES
430,Garrison? But he's an asshole.,YES
431,"Look asshole, this is a real emergency! Just pass the phone to whatever Garrison wants to call himself since the sex-change operation!",YES
432,"No NOO. Do NOT tow my bike!  Stop, asshole! RRRRRRRRRRRRRRRR! ",YES
433,They can all rot in hell! Who needs men anyway?! They're God damned arrogant self-centered assholes is what they are! ,YES
434,It's okay. It's time I met this rich Persian asshole face to face.,YES
435,"Yeah. And you know why? Because men are all assholes! They make you feel ashamed for being a little... big, or, manly looking.  But not Lesbos. We accept other women for who they are inside!",YES
436,"No, I wasn't honeless yeh stukid asshole!",YES
437,"Asshole! Cock! Asshole, shit, shit cock! ",YES
438,Asshole ASSHOLE.,YES
439,"Oh wuh, well that's it! Shithead! Asshole! Mexican sticky balls!",YES
440,"Uh excuse me, excuse me everyone I, I guess you might have noticed my awkward tics. Asshole! Pussy asshole!  Ach, augh, I just want you to know that I can't control it.",YES
441,Shit! Asshole!  'Scuse me. ,YES
442,"Don't push me, asshole!",YES
443,You aren't gonna get away with this you stupid asshole! ,YES
444,"Nono, you were right. The fat kid is faking it! If he goes on TV, more people will think that having Tourette's is fun. Asshole shit!",YES
445,Suck it! Asshole licker dickfart!,YES
446,"Wow, you're the coolest kid in the world. If I could call Chris Hansen an asshole-licking dickfart to his face, I would be sooo happy.",YES
447,"Goddamnit, you stupid assholes are going to ruin everything!",YES
448,"Just let it go with your fucking balls, you fucking asshole!! Your friends have been in danger and all you care about it this stupid bet! Well I've decided, Cartman, even if we had a bet, that I am never sucking your balls,  you got that?! They can throw me in jail for the rest of my life, but I am  never going to suck your balls,  never! So  there!",YES
449,"I just wanna play alone, alright?! I can't concentrate with all these assholes riding me all the time! ",YES
450,"'Cause you tricked me, you black asshole!",YES
451,"Ow! What'dja do that for?!  Hey, what's your problem, asshole?! ",YES
452,Well then you're just a fucking asshole! ,YES
453,"Hey, it's that asshole who sent us to the jungle with nobody to pick us up!",YES
454,"You're trying to turn my son into a little asshole sports person like yourself  There, there's another slap! Maybe you'll think next time you act, you-  Slap it, I'll slap it! ",YES
455,"God damn it, why is it every time we try to have a relaxing day a bunch of asshole on their Harley motorcycles show up?! ",YES
456,"Shut up you shifty Jew! I'll fuckin' kill you!  Uh sorry, sorry. I just, you know, when I've been waiting too long for the Colonel's chicken I get easily agitated. You're a fuckin' asshole Kenny! Oh oh oh, sorry sorry. Oh here we are! Here we are!",YES
457,"Stop it, Cartman. Just 'cause Kyle's mom is a Jersey asshole doesn't mean Kyle is.",YES
458,That asshole is not getting across my border! ,YES
459,"His mom... His mom goes: ""Clyde you're an asshole and now I have toilet water in my vagayjay.""",YES
460,Asshole clear.,YES
461,"Oh, I'm an asshole for doin' math!",YES
462,"So after Asshole gets his biology lesson, we finally get to go ziplining! ",YES
463,"Hey, you scrawny-eyed shithead, what the fuck is wrong with you?! You must be some kind of fucking asshole to be able to ignore a crying child!",YES
464,"You're an asshole Phillip.
",YES
465,My asshole eye doctor made them all dilevated.,YES
466,That asshole eye doctor screwed up my laser surgery; I have to wear these bandages for three days!,YES
467,"Well, you're pretty ugly, but, you don't have to be dating 22-year olds. I mean, what kind of scumbag asshole dates 12-year old girls?",YES
468,"Dude, somebody tricked me! I'll make you pay for making me come out here, God damnit!  Stupid asshole stuffed animals trying to ruin my night!  My guitar! NOOOOO!",YES
469,"You do not say ""Big silly goose""! You call him an asshole like a normal kid!",YES
470,"Bad influence my ass! How many times have I told you, never listen to your mother!",YES
471,"Draw two card, fatass.",YES
472,"Kenny, how would you like to sodomize my black ass",YES
473,"He didn't want us for sex, fatass! Something is making him say those things.",YES
474,"Don't belittle my people, you fucking fatass! ",YES
475,Get out of my way or I'll kick your ass!,YES
476,"No more timeouts, fatass!",YES
477,"Just play the game, fatass!",YES
478,"If you didn't eat so much, you wouldn't have diarrhea all the time, fatass!",YES
479,"Whoever he is, he is one tough badass.",YES
480,"Goddamnit, you see what happens when you spread this stupid crap, fatass?",YES
481,"And so then, I put my finger up my butthole, right? And I walked up to Kelly Nelson, and I said, ""Do you smell lemon grass?"", and she smelled my finger and puked! Hehehehe. Oh, guys, you should have been there.",YES
482,"But Dad, he's gonna bust a cap in my ass!",YES
483,You punkass fool!,YES
484,"This is your fault, homie! You've gots to get me to that party in L.A., or i'm gonna smoke your ass!",YES
485,"You have been frozen in ice for over 500 years.  Butters? Butters, you black asshole?! ",YES
486,"Primitive? It has motion-control controllers, asswipe!",YES
487,"Suck my balls, fatass.",YES
488,"What are you talking about, fatass?",YES
489,"They drag you out of here, put you in this big containment facility, where they stick a cold metal pipe up your ass with this clear jelly, and then they shock your balls. ",YES
490,"You all had head lice!  Every single person in the class! The boys aaand the girls! Lice spreads fast, you dumb-asses!",YES
491,"Oh yeah, dude. Havin' Mexicans around totally kicks fuckin' ass.",YES
492,"You barely made it over one, fatass!",YES
493,All right Mom- Bitch! Ass bitch!,YES
494,"Shit! Butthole!  Hey Wendy. DUMB BITCH! Uh, sorry.  Titties! Cock!  Ginger retard! Asslicker dickface!",YES
495,"You do not have Tourette's Syndrome, fatass!",YES
496,"Good morning, Mr. Mackey. Asspussy! ",YES
497,"If I could yell ""tampon dickshit"" in the classroom I'd be sooo happy.",YES
498,"Do you have any idea how horrible that is to say?  Ass! ASS!  We aren't ""faking"", young man. Trust me, nobody wants this illness, ass.  PISS! PIIISS!",YES
499,You see? These kids can't control their actions. Ass! Piss in the ass!,YES
500,"Well you know what I think, Towelie? I think you're a LYING SACK OF SHIT!  You lied to all these people, and for what??!! To make money!! They bought your book thinking it was true!!",YES
501,"...Shit, I gotta find Butters! ",YES
502,Cocknut! Augh... Stupid shit!,YES
503,I want tuh go!  Shitfag!,YES
504,"Uh, Good morning, Principal Victoria. Shitballs!",YES
505,Tampon! Tampon DICKshit!,YES
506,Aw shit! COCK!,YES
507,Aw shit!,YES
508,"Yeah yeah, go on in. There's a hot tub inside. STUPID SHIT!",YES
509,Stupid shit! Cock! ,YES
510,"NO, you fucking dipshit, that was a joke! ",YES
511,I'm sure. Abe Lincoln was right: I don't wanna find out I'm good-looking and become a total shithead when I grow up.,YES
512,This is bullshit. I don't wanna waste my time learning to cheat.,YES
513,Hm this is bullshit!,YES
514,I'll smack the shit out of you!,YES
515,I don't want an excuse! I'm going to beat the fucking shit out of you!,YES
516,"Kick the shit out of him, Wendy!",YES
517,"You heard me, you fuckin' piece of shit! I can finally tell you what I think o'you, fuckin' asshole!",YES
518,"It's okay, Stan, everything's changed. I don't need this stupid fuckin' job anymore! You lil fucking assfuck, piece of shit  You know what Obama said? Yes we can!",YES
519,I'll do it! I'll slap the shit out of you!,YES
520,(Yeah.)  (It isn't fair I was so close to getting a blow job and I'll never get one now - this is fucking bullshit...) ,YES
521,(Yeah.)  (It isn't fair I was so close to getting a blow job and I'll never get one now - this is fucking bullshit...) ,YES
522,"Dude, seriously? I'm gonna kick the shit out of you if you don't stop!",YES
523,"Fish dicks! Aw dude, that's funny as shit! I think we're really onto something here. Let's try it out on the guys.",YES
524,"Aw shit, it's Baby Fark McGee-zax!",YES
525,"(Holy shit, dude!)",YES
526,You're shittin' me!,YES
527,"Stan, me and Kenny don't give two shits about stupid-ass whaaales!",YES
528,"Sir, we actually don't give two shits about you killing whales. Can we go?",YES
529,"Ohh, OHHH! Somebody took a shit on mah fuckin' Harley!",YES
530,"IT'S NOT THE SAME SHIT! 
",YES
531,"If anyone has a gripe against that shithole, it's me! ",YES
532,"Yo, I understand, man, but this accident is real bad, dawg. My lady's leg is all busted up and shit; she all crawlin' around on the road lookin' like a crippled crab, man. I just need an ambulance, dog!",YES
533,You think you're better than me? Huh?! You think you're fuckin' hot shit?!,YES
534,"Aaah! Holy shit, Mimsy! What the hell did you do?!",YES
535,"No! Fuck no! I'm not gettin' on, no fucking plane! This is bullshit! Don't give me fuckin' ultimatums! I thought you were my fuckin' friends.",YES
536,"Come back, you fat piece of shit! ",YES
537,"Give up, you wanker! You fucking can't cook for shit!",YES
538,"Does everyone in Long Island have hair that looks like pussy, you dipshit? ",YES
539,You little shit! What the fuck have you done to us?!,YES
540,"Oh you're trying! You call rolling your fat ass out on the stage and lazily blurting out your lines like a turtle takin' a shit, you call that tryin'?! This play is supposed to change  how people think, Kyle! Get it fucking right!  Pick it up from there!",YES
541,Yeah! They're all right pissed off! This is great!,YES
542,This is... bullcrap! If I'm thin- I'm gonna be so... pissed off!  Goddammit! ,YES
543,"All right, seriously, you're starting to piss me off now.",YES
544,Whattaya mean? A bunch of pissed-off Muslims.,YES
545,That's it! Now I'm pissed! ,YES
546,"Holy crap!!
",YES
547,"Oh, God-damnit! 
",YES
548,"Tumon, how could you have failed me in this simple task? I am so seriously pissed off right now. I could bust a testicle.",YES
549,"Well, Mr. and Ms. Broflovski, I think your son has learned a lot, and he appears to be honestly remorseful for making fun of people with disabilities.  Piss! PISS!",YES
550,"Yeah. Piss out your ass right onto Kyle's mom's fat fucking Jew face!  Oh goodness, 'scuse me. Jeez, that was a bad one.  Well, gotta run, everybody. Got some big things in the works.  Isn't having Tourette's awesome? ",YES
551,She is pissed off.,YES
552,"Nothing! Look at me maaan. I'm not funny, I steal jokes, my dick don't work maaan. I got to piss in a plastic bag, man, I got no dick.",YES
553,"Look out, it's a bunch of pissed-off faggots! ",YES
554,"You know goddamn well you are not Jennifer Lopez, so stop pissing me off! ",YES
555,"Alright, what's up NASCAR fans? I don't know about y'all, but this President Obama is pissin' me off! So I'm gonna do some dip and speak my mind. Today I'm gonna be dippin'...  Vagisil Regular Strength Anti-Itch Creme.  Oh yeah. Yeah, that's a big dipper right there. But I'm pretty pissed off at what I found out. I found out this ""Obama"" wants to put a bigger tax on gasoline!  What the fuck is up with that?! That's fuckin' gay! And he's fuckin' gay as hell!  You all know my pit boss, Butters.
",YES
556,"Pissin' me off!
",YES
557,"He's fuckin' gay as hell!
",YES
558,"Obama's fuckin' gay.
",YES
559,"I know. That pisses me off. That's fuckin' gay.
",YES
560,"Riiight. Simple. Rustic. Ya? Wake up! Jesus! Fuck me. You're not a fucking chef! Hoi, right, good, ya. Make a nice, simple, beef Wellington. You're fucking taking a piss ya? Fuck me! You can't cook!",YES
561,"Well yeah ah, I saw you pissing in my face.",YES
562,"That's good, Fatty, get pissed!",YES
563,I'm pissed!,YES
564,"Yeah, I'm fat and I'm pissed!",YES
565,Democrats piss me off!,YES
566,You're damn right I'm gonna be pissed off. I bought that pig at Pink Floyd's yard sale.,YES
567,"I'm not talking to you, you piss-ant little hick!",YES
568,I... am... so... pissed... off... right... now.,YES
569,"Now that your boyfriend's dead, I'm free to be selfish, drunk, emotionally distant, sexually ungenerous, pissy...",YES
570,Sucker.,YES
571,This sucks. Where is that channel changer?,YES
572,"You suck, McBain!",YES
573,"See ya in hell, ye wingless blood-suckers!",YES
574,I wanna see some birds get sucked into the engines! Rare ones!,YES
575,"Oh, this sucks!",YES
576,"Volunteering is for suckers! Do you know that so-called ""volunteers"" don't even get paid?",YES
577,"Suck mah balls, Kyle! ",YES
578,"You'd better have a good reason, sucka!",YES
579,"Suck my balls, K-10. I'm not in the mood.",YES
580,Suck my balls!,YES
581,"No, you suck my balls!! Just listen to me for one minute!",YES
582,"... I will. I will suck your balls, Kyle. Just stop me from freezing myself, and I will get down on my knees, and I will suck your balls. I'll suck 'em dry, Kyle. ",YES
583,"...Oh, suck my balls, Kyle! ",YES
584,You were sucking somebody's penis. ,YES
585,Yes! That's three homeless! Suck on that! Fuck yeah! ,YES
586,...Cocksucker!,YES
587,"Finally, my wish of going public with my illness can come true.  Goddamn Jews! Suck my ass barf! ",YES
588,This is fucking retarded!,YES
589,"You didn't see a leprechaun, fatass! If you could prove it, I had to suck your balls, but if you couldn't, you had to pay me ten dollars! Pay up!",YES
590,"Kyle, suck my balls. ",YES
591,"That if he could prove leprechauns exist, I would suck his balls.",YES
592,Sucking Cartman's b-balls.,YES
593,"I didn't suck his balls, all right?! And I'm not going to!",YES
594,"God damn it, this sucks ass!",YES
595,"Fuck you, Jimmy Buffett! You fuckin' suck!",YES
596,You fucking suck so hard!!,YES
597,God this sucks!,YES
598,"You think God is in control here, haha?! I am in control! I've been in control since the '50s in case you haven't noticed, haha!  You three faggots are going onstage, and  YOU three faggots aren't going to stop me! NOBODY IS RUINING THIS EVENT!! Haha. I've worked too long and too hard to have anybody  fuck this up!  Where would you be without me, Jonas Brothers? Haha. Your music sucks and you know it! Haha. It's because you make little girls' 'ginies tickle! And when little girls' 'ginies tickle, I make money! Haha. And that's because little girls are fucking stupid! Haha. And the purity rings make it okay to do whatever I want! Haha. Even the Christians are too fucking stupid to figure out I'm selling sex to their daughters! I've made billions off of Christian ignorance for decades now, haha! And do you know why?!  Because Christians are retard-ed! Haha.  They believe in a talking dead guy! Haha.  Ohhh. Haha. Hello, folks.",YES
599,"Wow Eric, in-credible! Too bad I'm a dick and I'm gonna take all the credit. Su-su-suck it, bitch!",YES
600,"Oh yeah!  Oh yeah!  Suck on that, Hollis!",YES
601,"Suckin' on my titties like you wanted me,
Calling me all the time like Blondie.
Check out my Chrissie behind,
It's fine all of the time.
Like sex on the beaches,
What else is in the teaches of peaches?
Huh, what?
",YES
602,"You can s-, you can suck, suck my balls!",YES
603,Fuck the Smurfs! They can suck my fat tits! ,YES
604,You can suck my fat tits too! ,YES
605,Suck mah fat tits!,YES
606,There's not going to be a next time you fucking dumb cocksucker!,YES
607,Aw Goddamnit I got sucked into Facebook!,YES
608,"Hey buddy, want your dick sucked?  Does anybody want their dick sucked by a towel?",YES
609,"Suck it, bitches!",YES
610,I wouldn't let Adam Sandler suck my saggy tits for one million dollars worth of Oprah's tampons. ,YES
611,You suck!,YES
612,Catatafish made a salmon suck asshole.,YES
613,God this sucks!,YES
614,"Emos suck! Their vile, self-pitying, depressed assholes!",YES
615,Emos suck my Goth balls.,YES
616,"I said THAT SUCKS, DUDE.",YES
617,"If you wanna suck farts, Kyle, that's fine. Go ahead. But you can't suck farts and be a dick about it.",YES
618,"(What?!)Â  (Oh, the nerve! How insensitive of you, you cock-sucking faggot!)",YES
619,"Tell Bill Gates to suck my ass, Mom!Â Â Mom?Â Â Don't seriously tell Bill Gates to suck my ass. Tell him everything's cool and I'll call him in a little bit.Â ",YES
620,You suck!,YES
621,I'm glad the food is good. Lorde sucks.,YES
622,"Oh my God, you guys are so cisginger. Sorry I'm different, but you can just suck my clit AND my balls.",YES
623,"Okay, okay, okay you guys! You know what? You know what?  That's what.  Suck my clit and balls.",YES
624,"Yup! You know what Hillary says: ""You can suck my clit and balls."" ",YES
625,(Maybe she'll suck my dick),YES
626,"Yeah, but that sucks, to get your butt kicked by a girl, Stan.",YES
627,"You son of a bitch, your mom sucks!",YES
628,"Yes, and hungry too. Being a pilgrim totally sucks ass.",YES
629,This guy sucks! ,YES
630,Reading sucks ass.,YES
631,Wow! I guess reading really does suck ass!,YES
632,"Yeah, my ass is killing me.
",YES
633,"Yeah, dude, your Uncle Jimbo sucks ass!",YES
634,I don't wanna die on this- bus with you assholes!  You guys suck!,YES
635,HOW WOULD YOU LIKE TO SUCK MY ASS?!,YES
636,"Your parents are dead? Goddamn, you suck, Pip! ",YES
637,"A summer without fireworks is likeâ€¦ I don't know, but it's like-- It sucks ass.",YES
638,"Summer sucks ass, Mr. Garrison.",YES
639,"Hoohh, like Independence Day? That sucked ass, too.",YES
640,"Volunteering is for suckers! Do you know that so-called ""volunteers"" don't even get paid?",YES
641,"Hey, everybody, have you seen my balls? They're big and salty and brown
If you ever need a quick pick-me-up, just stick my balls in your mouth
Ooooo, suck on my cho-colate salty balls
put 'em in your mouth
Put 'em in your mouth and suck 'em and suck 'em...
",YES
642,There's nothin' we can do. Just sit here and suck on my balls.,YES
643,"Man, your family sucks ass, Kenny. Whoever heard of froaczen waffles for dinner?",YES
644,That bitch! I'm gonna go downstairs and kick her square in the nuts!,YES
645,"Shut your God-damned mouth
or else I'm... gonna... kick you
square in the balls... ass-hole
Aw, damn it! 
",YES
646,"Bitch, I'll kick yo ass!",YES
647,"I'll lose weight when I feel like it, bitch! Shut yo bitchass mouth, ho!
",YES
648,"You think you're slick, you punkass blasphemous dope-fiend bitch! I had my jimmy whacked seven times last week! I'll bust a cap in yo nigga ass, shithole!",YES
649,"Dude, what kind of sick joke is that? Girls suck ass.",YES
650,"(Well, why the fuck do I have to do everything while you stand around in the snow lookin--) ",YES
651,"(You suck ass and you suck dick!) 
",YES
652,"And stop your bitchin'!
",YES
653,"But Mr. Twig sucks.
",YES
654,"So, how's your lame-ass clubhouse, Stan?
",YES
655,"Yeah, bitch, school in summertime!  Open yo' fuckin' ears and shit, ho, or I'll pop your bitch ass.
",YES
656,"I'llba poppa yourba bitcha assa tooba, bitcha.
",YES
657,"Holy crap!  Behold! The Ewok Village 2000!
",YES
658,"And I go, ""Listen, bitch! I don't need my mother giving me no curfew!""
",YES
659,"Hoh boy.  Sick!  Aggghhh! Fucking sickening! 
",YES
660,"Crap!
",YES
661,"Totally. Uuuuuh my mom gives me shit sometimes, and I tell her to shut her hole before I kick her in the nuts!
",YES
662,"Bitchin'. 
",YES
663,"Roy's a dick! He ruined my chances with Wendy in the clubhouse!
",YES
664,"Stepdad? You gotta off his ass!
",YES
665,"Yeah, bitch! Snatch his ass in a bear trap! Leave that motherfucker swingin' from a tree so high nobody finds him for days! Glock-glock, you know what I'm sayin'? Dumbassed motherfucker pullin' shit! Damn!
",YES
666,"No problem, ho. Maybe later you can suck my dick, bitch-ho! Shit!",YES
667,"This is bullcrap! 
",YES
668,"Dude, that kicks ass!
",YES
669,"Eh! God-damnit! 
",YES
670,"That was the dumbest ride I've ever seen!
",YES
671,"(Dude, these are my fucking food stamps! How am I going to eat without all these food stamps?)
",YES
672,"This game is fixed! The balls are bigger than Jennifer Love Hewitt's mouth!
",YES
673,"You dirty son of a bitch, you never told us that we had to win-
",YES
674,"Yikes!  Ow!  Son of a bitch!
",YES
675,"Get back on, fatass! You have to practice!
",YES
676,"Ey! Seriously, dude! Do something! Dude, stop this crazy thing!  Mother f- 
",YES
677,"Mmmm-gahyah! Git along, little doggies!  Bad cows stay! Stay!  AAAAAH!
",YES
678,"Stinky britches, you got stinky britchesStinky, stinky britches, you got stinky--
",YES
679,"This new song by Alanis Morissette. I canâ€™t get it out of my head.Stinky britches, you got stinky britches
",YES
680,"Stinky britches, you got stinky, stinky--
",YES
681,"Itâ€™s the same goddamn song!
",YES
682,"Dammit, don't give me that medical jargon! Just tell me straight, is he going to be okay?!
",YES
683,"Goddamn,  I hate that Cochran guy! If he was in front of me, I'd be like, ""Hey! You stupid son of a bitch! You-- How... How'd you like me to kick you in the nuts?!""
",YES
684,"Dammit..!
",YES
685,"I brought you some more juice, Mr. Twig. Are you feeling any better?  I don't know who would want to hurt you like this, but I promise nobody will ever hurt you again, ever.  Mist-Mr. Twig... are you okay? Mist-Mr. Twig..?  Aaaggghhh!! Mr. Twig is broken in half! Who did this?!  You won't get away with this, you bastards!
",YES
686,"Shut your goddamn mouth.  We have Nilla Crunchies, Berry Bars--
",YES
687,"Sex toys? Like what?
",YES
688,"No, Garrison! Shut the hell up!
",YES
689,"Kenny, wasn't that your fat, racist, foul-mouthed friend, Eric Cartman?
",YES
690,"WAAAAAAAH! Mooomm!
",YES
691,"MMOOMM!
",YES
692,"God, will you shut up?!
",YES
693,"Shut your god-damned mouth, fatass!
",YES
694,"Screw you! 
",YES
695,"You kick ass, evil Cartman!
",YES
696,"Oh? I've got a better idea. Why don't you two go fuck yourselves?
",YES
697,"Leave him alone, butthole!
",YES
698,"Ey, you backstabbin' sellout!
",YES
699,"AAAAAH!
",YES
700,"Noooo! Screw you guys! 
",YES
701,"Damn it!
",YES
702,"Shotgun! It's my car, I call it first: shotgun!  Kenny, I called it shotgun!  Dammit, Kenny, get in the back!  Hey, Kenny, there's a sale on orange jackets over there.  Look, Kenny, there's an elephant parade!  Ken-ny. Kenny, look. Look! Go get it! , Go get it!  ha ha ha, you poor piece of crap. 
",YES
703,"Are you telling me that I drove nine hours through butt-fucking nowhere to get a god-damned shirt?! Mom, Grandma's gone senile! It's time to stick her in a home!
",YES
704,"I can't believe I got a stupid shirt!  The holidays are bullcrap!
",YES
705,"You-oo you just can't buy people, Mr. Potter, wuh. Why, you know what you are? You're a little bitch.  That's right, you're a bitch, and I bet you'd like to suck it, wouldn't you?
",YES
706,"Damn his Goddamned authorituh!
",YES
707,"Mass murderer and extremely nasty person Charles Manson has escaped from prison! Manson was the man responsible for seven murders in the late '60's. Manson has never shown any signs of remorse for his crimes. If you see Manson, please kick his ass and smash his fucking face in for me, and then call the police. And now back to the game.
",YES
708,"My family sucks ass!
",YES
709,"Stan, don't be such a dumbass. You have to trust people. 
",YES
710,"You son of a bitch! Rip it down! Get out!
",YES
711,"Shut up! 
",YES
712,"Dude, this is pretty fucked up right here.
",YES
713,"(Fuck you!)
",YES
714,"All right, Mr. Douchebag.
",YES
715,"This guy sucks ass!
",YES
716,"What the hell? 
",YES
717,"You bastards. Listen, we have to give a huge speech tomorrow about corporate takeovers.
",YES
718,"Holy shit! We've killed your friend!
",YES
719,"Holy crap. dude!
",YES
720,"Screw you, hippie!
",YES
721,"Screw you! 
",YES
722,"Why are you being such a dick?
",YES
723,"I'm not being a dick, you're being a dick!
",YES
724,"Oh, shut up, assmaster. You're just jealous 'cause they had me talk to him. 
",YES
725,"Killer.
",YES
726,"I wasn't talking to you, buttpipe! I was talking to Cartman!
",YES
727,"You're a dick!
",YES
728,"You're a dick, and I've had it with your dicketry! I choose you!
",YES
729,"Oh yeah.  Fine, I'll kick your ass tomorrow, dick! 
",YES
730,"I'll kick your ass so bad you'll wish you never had it- to begin with! Your ass, I mean.  Wait. 
",YES
731,"Damn it, Damn it!
",YES
